,Sold_Date,latitude,longitude,year,quarter,Sold_Price
170,1997-10-31 00:00:00+00:00,-32.40028712,151.74957722,1997,4,17000.0
171,1997-11-02 00:00:00+00:00,-33.84005029,150.98895119,1997,4,130000.0
172,1997-11-20 00:00:00+00:00,-34.01167186,151.09148419,1997,4,410000.0
173,1997-11-25 00:00:00+00:00,-33.92933391,150.9124146,1997,4,135000.0
174,1998-02-04 00:00:00+00:00,-34.02764677,151.08217204,1998,1,241500.0
175,1998-02-06 00:00:00+00:00,-33.94598323,151.05299142,1998,1,215000.0
176,1998-02-09 00:00:00+00:00,-35.90826069,150.06872656,1998,1,130000.0
177,1998-03-11 00:00:00+00:00,-33.89319607,151.13828388,1998,1,280000.0
178,1998-03-19 00:00:00+00:00,-33.77498537,150.90534863,1998,1,210000.0
179,1998-03-27 00:00:00+00:00,-33.74302132,151.01419626,1998,1,285000.0
180,1998-04-21 00:00:00+00:00,-32.90889709,151.68464659,1998,2,148000.0
181,1998-04-23 00:00:00+00:00,-33.92382787,151.13502823,1998,2,175000.0
182,1998-05-08 00:00:00+00:00,-33.70156121,150.31546414,1998,2,143000.0
183,1998-05-14 00:00:00+00:00,-32.91618565,151.70279205,1998,2,85000.0
184,1998-06-01 00:00:00+00:00,-33.86373369,151.04183777,1998,2,203000.0
185,1998-06-04 00:00:00+00:00,-33.88547022,151.22978576,1998,2,625000.0
186,1998-07-09 00:00:00+00:00,-33.32640063,151.43593917,1998,3,114000.0
187,1998-07-24 00:00:00+00:00,-31.95701665,141.44457087,1998,3,25000.0
188,1998-08-20 00:00:00+00:00,-33.7258485,151.22094669,1998,3,340000.0
189,1998-10-12 00:00:00+00:00,-33.71708631,150.89884372,1998,4,177000.0
190,1998-11-07 00:00:00+00:00,-33.71652346,151.00331434,1998,4,340000.0
191,1998-12-02 00:00:00+00:00,-33.45148284,151.43482396,1998,4,70000.0
192,1998-12-10 00:00:00+00:00,-33.94906235,151.14081123,1998,4,157000.0
